,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
31,Cambodia,4329034.0,2464835.0,1864199.0,25.89,14.74,11.15,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
32,Cameroon,64829.0,56583.0,8246.0,0.24,0.21,0.03,"Oxford/AstraZeneca, Sinopharm/Beijing"
33,Canada,22810709.0,20932071.0,1878638.0,60.44,55.46,4.98,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
34,Cape Verde,24382.0,21663.0,2719.0,4.39,3.9,0.49,"Oxford/AstraZeneca, Pfizer/BioNTech"
35,Cayman Islands,80120.0,43235.0,36885.0,121.91,65.79,56.12,"Oxford/AstraZeneca, Pfizer/BioNTech"
36,Central African Republic,667.0,667.0,0.0,0.01,0.01,0.0,"Covaxin, Oxford/AstraZeneca"
37,Chile,18222484.0,10323751.0,7898733.0,95.32,54.01,41.32,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
38,China,602991000.0,0.0,0.0,41.89,0.0,0.0,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
39,Colombia,8842360.0,5646512.0,3195848.0,17.38,11.1,6.28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
40,Comoros,80023.0,43140.0,36883.0,9.2,4.96,4.24,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
41,Congo,38268.0,22623.0,15645.0,0.69,0.41,0.28,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
